Common name,PROTEIN,ASH,FAT,DIETARY-FIBRE,CARBOHYDRATE,ENERGY,THIAMINE,RIBOFLAVIN,NIACIN,PANTAC,VITAMIN B6,VITAMIN B7,VITAMIN B9,VITAMIN C,ALUMINIUM,CALCIUM,COPPER,IRON,MAGNESIUM,MANGANESE,NICKEL,PHOSPHOR,POTASSIUM,SODIUM,ZINC
Niger seeds,20.49,2.327,19.702,5.52,12.015,1072.25,0.237,0.163,0.565,0.252,0.219,1.292,322.94,0.01,8.028,260.55,0.69,10.948,208.825,1.962,0.172,259.5,418,5.188,2.548
Nutmeg,6.54,1.05,18.28,6.085,14.17,975.5,0.028,0.03,0.285,0.195,0.054,0.93,302.44,0.01,0.435,80.05,0.645,1.265,118.5,1.795,0.14,122.1,244.6,7.295,0.775
Octopus,14.71,1.21,1.12,0.01,0.01,334,0.05,0.05,1.18,0.94,87.71,0.01,540.44,0.01,0.16,11.49,0.545,0.5,41.99,0.03,0.004,173,162,179,1.24
Omum,16.5,4.205,10.595,10.31,12.605,751,0.166,0.127,0.71,0.13,0.123,1.04,303.44,0.01,3.915,589,0.66,7.97,147.65,3.89,0.182,193.35,969,14.435,3.065
Onion,1.967,0.407,0.12,1.553,4.24,95,0.03,0.016,0.137,0.123,0.078,2.598,250.44,8.622,0.695,15.127,0.077,0.845,19.595,0.143,0.01,20.298,129.933,4.793,0.353
Orange,0.82,0.19,0.075,0.67,4.095,80,0.04,0.012,0.16,0.125,0.022,1.65,234.44,23.765,0.01,10.5,0.02,0.425,5.785,0.01,0,8.685,93.8,0.76,0.025
Oyster,9.51,2.47,2.44,0.01,0.01,252,0.06,0.07,0.71,1.18,145,0.01,535.44,0.01,0.01,63,1.705,0.9,22.24,0.56,0,170,122,41.01,7.35
Oyster mushroom,19.04,1.41,2.86,39.12,33.07,1019,0.24,0.17,3.77,2.33,0.85,22.51,334.44,0.01,5.17,11.805,0.45,3.58,136,1.02,0.044,702,350,8.67,8.67
Paarai,21.58,1.21,1.84,0.01,0.01,435,0.03,0.02,2.86,0.27,173,0.01,481.44,0.01,0.01,6.76,0.015,0.69,27.59,0.01,0.007,284,384,45.22,0.45
Padayappa,19.7,1.26,0.69,0.01,0.01,360,0.03,0.05,4.53,0.68,68.93,0.01,482.44,0.01,0.01,4.915,0.29,0.33,28.98,0.02,0.006,256,490,33.87,1.48
Pak Choi leaves,1.41,1.1,0.25,1.91,1.78,67,0.02,0.22,0.66,0.31,0.96,10.25,102.44,55.6,3.16,75,0.03,3.78,45.28,0.36,0.024,25.95,250,33.73,0.16
Pali kora,19.25,1,1.81,0.01,0.01,394,0.03,0.05,0.78,0.43,126,0.01,483.44,0.01,0.01,8.515,0.005,0.42,28,0.01,0.001,195,364,54.85,0.38
Palm fruit,0.5,0.13,0.12,2.4,4.92,101,0.01,0.001,0.46,0.13,0.07,2.49,235.44,0.25,0.01,0.001,0.001,0.001,0.001,0.001,0,0.001,158,1.25,0.05
Pambada,21.95,1.41,4.44,0.01,0.01,537,0.04,0.03,1.96,0.64,76.49,0.01,484.44,0.01,0.01,8.265,0.01,0.38,29.87,0.02,0.002,170,263,82.65,0.41
Pandukopa,19.73,1.15,0.65,0.01,0.01,360,0.04,0.02,0.54,0.42,262,0.01,485.44,0.01,0.01,6.09,0.015,0.47,29.15,0.01,0.004,203,427,49.15,0.33
Paneer,19.61,1.03,7.475,0.01,6.265,546,0.01,0.06,0.08,0.25,0.023,10.805,339.44,0.01,1.52,255.85,0.075,0.57,14.245,0.09,0.008,182.3,36.745,9.645,1.44
Pangas,18.74,0.575,8.84,0.01,0.01,438,0.01,0.03,0.745,0.36,123.1,0.01,549.44,0.01,0.29,6.385,0.025,0.425,14.75,0.02,0.002,108,180.3,23.46,0.425
Papaya,0.515,0.288,0.108,1.355,2.465,54,0.016,0.039,0.122,0.198,0.02,1.19,202.44,18.298,0.03,10.23,0.035,0.12,7.332,0.018,0.001,12.93,96.875,3.617,0.05
Parava,21.5,1.08,2.74,0.01,0.01,467,0.03,0.03,0.98,0.09,153,0.01,486.44,0.01,0.01,14.56,0.01,3.58,32.52,0.03,0.009,194,363,84.08,0.56
Parcus,19.87,1.12,0.62,0.01,0.01,361,0.04,0.02,0.88,0.21,202,0.01,487.44,0.01,0.01,10.54,0.01,0.28,28.84,0.02,0.004,218,446,64.38,0.33
Parrot fish,20.82,1.4,0.57,0.01,0.01,375,0.06,0.02,1.89,1.15,132,0.01,488.44,0.01,0.01,4.605,0.03,0.38,28.88,0.02,0.003,316,432,51.79,0.31
Parsley,5.89,1.21,0.63,1.96,5.24,161.5,0.106,0.052,0.185,0.115,0.1,7.25,103.44,74.65,0.01,168.35,0.115,3.88,31.535,0.46,0.03,47.21,264.1,26.77,0.715
Parwar,1.5,0.31,0.17,1.34,1.93,53,0.028,0.03,0.355,0.15,0.11,5.3,169.44,12.925,0.195,16.92,0.05,0.305,14.115,0.08,0.008,18.765,59.75,1.19,0.13
Peach,0.86,0.51,0.37,2.13,7.82,168,0.02,0.02,0.29,0.15,0.1,1.43,237.44,5.49,0.18,3.49,0.04,0.35,8.06,0.05,0.138,19.08,281,1.15,0.1
Pear,0.4,0.17,0.155,2.28,4.16,80,0.012,0.014,0.08,0.03,0.052,0.84,238.44,2.105,0.31,3.97,0.05,0.19,4.42,0.045,0.006,4.265,56.3,0.86,0.045
Peas,14.75,0.893,0.53,6.055,15.483,410.25,0.226,0.052,1.038,0.525,0.129,1.255,118.94,11.21,0.242,30.225,0.248,1.818,43.625,0.422,0.046,102.748,311.85,6.792,1.12
